experiment_time,train_batch,val_check_interval,lr,warmup_step,dropout_rate,layer_count,head_count,dim_model,dim_ff,seq_len,best_val_auc,best_step,test_auc
2021-02-01 11:07:50.207563,50,0.5,0.001,4000,0.2,2,10,200,256,200,0.8617293367855616,4841,0.8493246758870395
2021-02-01 11:25:38.313892,50,0.5,0.001,4000,0.2,2,5,200,256,200,0.8624988290597855,4841,0.8509186345206492
2021-02-01 11:35:47.133457,50,0.5,0.001,4000,0.2,2,1,200,256,200,0.7998809831548446,2336,0.788202440260236
2021-02-01 11:59:56.645747,50,0.5,0.001,4000,0.2,2,10,100,256,200,0.862903266131355,6261,0.8489571573900541
2021-02-01 12:49:53.775000,50,0.5,0.001,4000,0.2,2,10,200,800,200,0.8618991980421332,4507,0.8485257878288797
2021-02-01 13:06:59.755967,50,0.5,0.001,4000,0.2,2,5,200,800,200,0.8618452674908024,4507,0.8503410911325193
2021-02-01 13:16:10.985775,50,0.5,0.001,4000,0.2,2,1,200,800,200,0.7996271488698371,2002,0.7878015539518737
2021-02-01 13:43:50.533474,100,0.5,0.001,4000,0.2,2,10,200,800,200,0.8606710581604271,3821,0.8498380884085504
2021-02-01 14:16:18.562722,100,0.5,0.001,4000,0.2,2,5,200,800,200,0.8615652894811332,3695,0.8509463636397372
2021-02-01 14:33:19.888423,100,0.5,0.001,4000,0.2,2,1,200,800,200,0.7995422951387252,1511,0.7869013390097417
2021-02-01 14:56:41.753470,100,0.5,0.001,4000,0.2,2,10,100,400,200,0.8005801506631476,2141,0.7872107022424533
2021-02-01 15:37:43.129063,100,0.5,0.001,4000,0.2,2,5,100,400,200,0.8618587251534846,4493,0.8492005777735643
2021-02-01 16:14:31.026155,100,0.5,0.001,4000,0.2,2,1,100,400,200,0.8607935796764403,3863,0.8484768897357378
2021-02-01 17:11:31.001288,100,0.5,0.001,4000,0.2,2,10,50,200,200,0.8630101505741835,5165,0.8502942289636553
2021-02-01 17:40:06.236746,100,0.5,0.001,4000,0.2,2,5,50,200,200,0.8001317652135629,2351,0.7868978459681737
2021-02-01 18:25:12.630885,100,0.5,0.001,4000,0.2,2,1,50,200,200,0.8613393327220258,4703,0.8491341875397285
2021-02-01 18:59:40.461584,100,0.5,0.001,4000,0.2,1,10,200,800,200,0.8595930820284263,3653,0.8464375482272656
2021-02-01 19:27:44.908181,100,0.5,0.001,4000,0.2,1,5,200,800,200,0.8601884869877152,3695,0.8475700969427141
2021-02-01 19:36:46.606089,100,0.5,0.001,4000,0.2,1,1,200,800,200,0.7959325814267199,1259,0.7835714836056524
2021-02-01 19:52:31.551558,100,0.5,0.001,4000,0.2,1,10,100,400,200,0.8604998127547242,4199,0.847368349166061
2021-02-01 20:03:34.943508,100,0.5,0.001,4000,0.2,1,5,100,400,200,0.8606990842227484,4199,0.8473710257431404
2021-02-01 20:12:13.190340,100,0.5,0.001,4000,0.2,1,1,100,400,200,0.8578962584721757,3863,0.8448479883771367
2021-02-01 20:34:23.450572,100,0.5,0.001,4000,0.2,1,10,50,200,200,0.8602718645559836,6929,0.8476777939454705
2021-02-01 20:50:33.073187,100,0.5,0.001,4000,0.2,1,5,50,200,200,0.8610880472168523,6719,0.8470705481079229
2021-02-01 21:06:48.760953,100,0.5,0.001,4000,0.2,1,1,50,200,200,0.8581604364129409,5963,0.8447592690614882
2021-02-01 21:11:30.889137,100,0.5,0.001,4000,0.2,2,10,200,800,100,0.8000348116792678,1719,0.7876234128219619
2021-02-01 21:15:39.006272,100,0.5,0.001,4000,0.2,2,5,200,800,100,0.7999181251471037,1719,0.7878206179238663
2021-02-01 21:18:38.350276,100,0.5,0.001,4000,0.2,2,1,200,800,100,0.7990677975120375,1160,0.7867948367783247
2021-02-01 21:27:24.533546,100,0.5,0.001,4000,0.2,2,10,100,400,100,0.8546285439554553,4471,0.8404705671384785
2021-02-01 21:30:55.680466,100,0.5,0.001,4000,0.2,2,5,100,400,100,0.7999223314882429,1719,0.7871159931098975
2021-02-01 21:34:13.967587,100,0.5,0.001,4000,0.2,2,1,100,400,100,0.7994546376183478,1719,0.7870742823481635
2021-02-01 21:44:54.522318,100,0.5,0.001,4000,0.2,2,10,50,200,100,0.8566507017091899,5890,0.8419760987277838
2021-02-01 21:54:22.262241,100,0.5,0.001,4000,0.2,2,5,50,200,100,0.8584062089822588,5761,0.8441573728868033
2021-02-01 22:02:05.676460,100,0.5,0.001,4000,0.2,2,1,50,200,100,0.8577149415084078,5159,0.8442527695552772
2021-02-01 22:08:38.116938,100,0.5,0.001,4000,0.2,1,10,200,800,100,0.8543220699400541,3869,0.8414676685349289
2021-02-01 22:14:45.278387,100,0.5,0.001,4000,0.2,1,5,200,800,100,0.8552560406686728,3869,0.8431687708008917
2021-02-01 22:18:25.398889,100,0.5,0.001,4000,0.2,1,1,200,800,100,0.8420654438433373,2235,0.8311467404343578
2021-02-01 22:25:04.560035,100,0.5,0.001,4000,0.2,1,10,100,400,100,0.8533850732747781,4557,0.8395257680980701
2021-02-01 22:31:23.960724,100,0.5,0.001,4000,0.2,1,5,100,400,100,0.8538029574931771,4600,0.8408524867323772
2021-02-01 22:37:17.610988,100,0.5,0.001,4000,0.2,1,1,100,400,100,0.8513395414091255,4385,0.8376791137052039
2021-02-01 22:46:32.220164,100,0.5,0.001,4000,0.2,1,10,50,200,100,0.8555741123552838,6879,0.8430414776528932
2021-02-01 22:54:23.760168,100,0.5,0.001,4000,0.2,1,5,50,200,100,0.8574005385399592,6277,0.8442666990778629
2021-02-01 23:01:16.427080,100,0.5,0.001,4000,0.2,1,1,50,200,100,0.8506949708943277,5976,0.836828886389919
2021-02-02 05:39:29.606429,100,0.5,0.001,200,0.2,2,10,200,800,100,0.8541815334536305,4772,0.8426542722369714
2021-02-02 05:53:02.498678,100,0.5,0.001,200,0.2,2,5,200,800,100,0.8547910335991804,4815,0.8433659048299864
2021-02-02 06:05:11.731980,100,0.5,0.001,200,0.2,2,1,200,800,100,0.8564757862708432,4471,0.8441175239833076
2021-02-02 06:23:51.909330,100,0.5,0.001,200,0.2,2,10,100,400,100,0.8519406104696545,7696,0.8378672718618665
2021-02-02 06:42:00.618174,100,0.5,0.001,200,0.2,2,5,100,400,100,0.8546603662406548,8341,0.8398680574932247
2021-02-02 06:57:19.767578,100,0.5,0.001,200,0.2,2,1,100,400,100,0.8562945481759717,7223,0.8417843163565777
2021-02-02 07:40:26.419015,100,0.5,0.001,200,0.2,2,10,50,200,100,0.8535462707830845,21112,0.8401028673434834
2021-02-02 08:18:46.248619,100,0.5,0.001,200,0.2,2,5,50,200,100,0.8548021330818615,21499,0.8405305603206756
2021-02-02 08:44:21.119231,100,0.5,0.001,200,0.2,2,1,50,200,100,0.8569251588961139,15092,0.8426450270359972
2021-02-02 08:54:56.725453,100,0.5,0.001,200,0.2,1,10,200,800,100,0.8504770324730166,5245,0.8380086892968878
2021-02-02 09:04:30.474409,100,0.5,0.001,200,0.2,1,5,200,800,100,0.851663516432629,5159,0.839301066547013
2021-02-02 09:13:15.420157,100,0.5,0.001,200,0.2,1,1,200,800,100,0.8532688349808415,4987,0.8392827576924521
